Control Number,Subject,Primary Creator,Unique Custodian,Email From,Email To,Email CC,Date Created,Date Last Modified,Date Sent,Date Received,MD5 Hash,Attachment Count
ANEX-00000038,3 - URGENT - TO PREVENT LOSS OF INFORMATION,outlookmigration@leaf.com,Jeffrey Feather,outlookmigration@leaf.com,staff@leaf.com,,2017-01-24 04:05:12,11/05/2009 17:36,2017-01-24 04:05:12,,3aa96d33865c6c802c33022859bab81e,0
ANEX-00000040,Re: Energy TF Final Report,rosie@leaf.com,Ken Murray,rosie@leaf.com,jsikes@cfr.org,,2016-11-01 23:00:00,11/05/2009 06:29,2016-11-01 23:00:00,,c423447466d8a4881ebdd36dec3002ff,1
ANEX-00000041,Rights for Mark LaGrange to the Executive Database,rosie@leaf.com,Ken Murray,rosie@leaf.com,"""information risk management""","""susan lopez""; ""sally keepers""; ""dorothy barnes""; ""suzanne neville""; ""edward e quin""",2017-01-06 17:26:39,11/05/2009 06:43,2017-01-06 17:26:39,,ec629fdbb0bbe99fe566f2da7428821f,1
ANEX-00000044,University of Houston Reception,rosie@leaf.com,Ken Murray,rosie@leaf.com,rudolph@ext-eml.com; lisa@ext-eml.com; terry@leaf.com,,2016-12-13 07:22:45,11/05/2009 06:43,2016-12-13 07:22:45,,b53cf846dcd1fc4f6b02111fbfd31021,0
ANEX-00000045,Re: Update from cousins in Missouri,Tori.waldie@cent.com,Ken Murray,Tori.waldie@cent.com,Janice <maxwells@train.missouri.org>,,2017-01-17 02:20:16,11/05/2009 06:52,2017-01-17 02:20:16,,7ba481971289457bd0380db246465871,0
ANEX-00000052,[No Subject],phillip@leaf.com,Phil Sarme,phillip@leaf.com,steve@cli-eml.com; mary,,2016-12-08 00:28:13,12/05/2009 00:56,2016-12-08 00:28:13,,de467b1388fbebc5e99a21c544953ac0,0
ANEX-00000054,Re: MISSION SOUTH,phillip@leaf.com,Phil Sarme,phillip@leaf.com,Jeff Smith <jsmith@austintx.com>,,2016-11-26 02:04:29,12/05/2009 01:21,2016-11-26 02:04:29,,93b0a9a00536d0c0839841f4777f33f1,0
ANEX-00000062,[No Subject],vince@leaf.com,Vince Vanjie,vince@leaf.com,vince@leaf.com,,2016-11-23 13:17:20,12/05/2009 07:39,2016-11-23 13:17:20,,4309feac7489f036b709020e4958ab30,0
ANEX-00000071,Agenda,vince@leaf.com,Vince Vanjie,vince@leaf.com,vince@leaf.com,,2016-10-19 08:55:24,12/05/2009 07:39,,,3de3e351daeb766a319362f24dc827f2,0
ANEX-00000075,Re: Exmar Purchase Decision,vince@leaf.com,Vince Vanjie,vince@leaf.com,richard@cli-eml.com,,2016-11-27 08:15:18,,2016-11-27 08:15:18,,980300343282990f0cae29e2aa2138c1,3
ANEX-00000076,Edith Terry - a potential candidate,vince@leaf.com,Vince Vanjie,vince@leaf.com,"""remi collonges""",vince@leaf.com,2016-11-04 15:47:53,,2016-11-04 15:47:53,,99c3a1a9425a34c8e434d176ac0279c0,0
ANEX-00000085,Re: Weather derivs,vince@leaf.com,Vince Vanjie,vince@leaf.com,steve@cli-eml.com,vince@leaf.com,2016-11-12 16:04:55,,2016-11-12 16:04:55,,2fac268b563aafbf4ce1ad2e163a106f,2
